Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,
692,14-05-2018,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,88,10,92,0,Royal Challengers Bangalore,Wickets,10,Umesh Yadav,
693,15-05-2018,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,142,10,145,4,Kolkata Knight Riders,Wickets,6,Kuldeep Yadav,
694,16-05-2018,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Field,Group,186,8,183,5,Mumbai Indians,Runs,3,Jasprit Bumrah,
695,17-05-2018,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Group,218,6,204,3,Royal Challengers Bangalore,Runs,14,AB de Villiers,
696,18-05-2018,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Field,Group,162,5,128,6,Delhi Daredevils,Runs,34,Harshal Patel,
697,19-05-2018,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Group,164,5,134,10,Rajasthan Royals,Runs,30,Shreyas Gopal,
698,19-05-2018,Rajiv Gandhi International Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat,Group,172,9,173,5,Kolkata Knight Riders,Wickets,5,Chris Lynn,
699,20-05-2018,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Group,174,4,163,10,Delhi Daredevils,Runs,11,Amit Mishra,
700,20-05-2018,Maharashtra Cricket Association Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Group,153,10,159,5,Chennai Super Kings,Wickets,5,Lungi Ngidi,
701,22-05-2018,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Playoff,139,7,140,8,Chennai Super Kings,Wickets,2,Faf du Plessis,
702,23-05-2018,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field,Playoff,169,7,144,4,Kolkata Knight Riders,Runs,25,Andre Russell,
703,25-05-2018,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Playoff,174,7,160,9,Sunrisers Hyderabad,Runs,14,Rashid Khan,
704,27-05-2018,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Final,178,6,181,2,Chennai Super Kings,Wickets,8,Shane Watson,
705,23-03-2019,M. A. Chidambaram Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Group,70,10,71,3,Chennai Super Kings,Wickets,7,Harbhajan Singh,
706,24-03-2019,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,181,3,183,4,Kolkata Knight Riders,Wickets,6,Andre Russell,
707,24-03-2019,Wankhede Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,Field,Group,213,6,176,10,Delhi Capitals,Runs,37,Rishabh Pant,
708,25-03-2019,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Group,184,4,170,9,Kings XI Punjab,Runs,14,Chris Gayle,
709,26-03-2019,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Bat,Group,147,6,150,4,Chennai Super Kings,Wickets,6,Shane Watson,
710,27-03-2019,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,Group,218,4,190,4,Kolkata Knight Riders,Runs,28,Andre Russell,
711,28-03-2019,M. Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,187,8,181,5,Mumbai Indians,Runs,6,Jasprit Bumrah,
712,29-03-2019,Rajiv Gandhi International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Bat,Group,198,2,201,5,Sunrisers Hyderabad,Wickets,5,Rashid Khan,
713,30-03-2019,Punjab Cricket Association Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Field,Group,176,7,177,2,Kings XI Punjab,Wickets,8,Mayank Agarwal,
